Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
6l90e-tkr-transmission,6L90E TKR Transmission,"<p>TK Pefromance transmissions have been proven thousands of time both at the drag strip and daily drivers. The quality and craftsmanship we put into every built transmission we upgrade, is regarded as ""the best in the business"" in both performance and value for your money.</p>",TK Performance,Transmission,"2009-15 CTS-V Transmission, 5th Gen Camaro Transmission, 6L90E TKR Transmission, 6th Gen Camaro Transmission, Transmission",TRUE,Title,Default Title,,,,,,11340,,1,deny,manual,2100,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L90E_TKR_Transmission.jpg?v=1550718583,1,TK Performance,FALSE,,"TK Pefromance transmissions have been proven thousands of time both at the drag strip and daily drivers. The quality and craftsmanship we put into every built transmission we upgrade, is regarded as ""the best in the business"" in both performance and value for your money.",Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"6L90E TKR Transmission, TK Performance Transmission","6L90E TKR Transmission, TK Performance Transmission",,FALSE,,,,,,,lb,,
6l80e-tkr-transmission,6L80E TKR Transmission,"<p>TK Pefromance transmissions have been proven thousands of time both at the drag strip and daily drivers. The quality and craftsmanship we put into every built transmission we upgrade, is regarded as ""the best in the business"" in both performance and value for your money.</p>",TK Performance,Transmission,"5th Gen Camaro Transmission, 6L80E TKR Transmission, C6 Corvette Transmission, Chevy SS Transmission, Pontiac G8 Transmission, Transmission",TRUE,Title,Default Title,,,,,,11340,,1,deny,manual,2100,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L80E_TKR_Transmission.jpg?v=1550718582,1,TK Performance,FALSE,,"TK Pefromance transmissions have been proven thousands of time both at the drag strip and daily drivers. The quality and craftsmanship we put into every built transmission we upgrade, is regarded as ""the best in the business"" in both performance and value for your money.",Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"6L80E TKR Transmission, TK Performance Transmission","6L80E TKR Transmission, TK Performance Transmission",,FALSE,,,,,,,lb,,
8l90-tkr,8L90 TKP,"<p>TK Pefromance transmissions have been proven thousands of time both at the drag strip and daily drivers. The quality and craftsmanship we put into every built transmission we upgrade, is regarded as ""the best in the business"" in both performance and value for your money.</p>",TK Performance,Transmission,"2016+CTS-V Transmission, C7 Corvette Transmission, TKR 8L90, Transmission",TRUE,Title,Default Title,,,,,,11340,,1,deny,manual,2700,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/8L90_Transmission_Roho_Spec_Build_b6f23bc1-3d61-4a46-b4a5-4959913e4ff2.jpg?v=1550718581,1,TK Performance,FALSE,,"TK Pefromance transmissions have been proven thousands of time both at the drag strip and daily drivers. The quality and craftsmanship we put into every built transmission we upgrade, is regarded as ""the best in the business"" in both performance and value for your money.",Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"8L90 TKP, Transmission, TK Performance Transmission","8L90 TKP, Transmission, TK Performance Transmission",,FALSE,,,,,,,lb,,
6l90e-billet-reinforced-rear-planetary,6L90E: Billet Reinforced Rear Planetary,<p>6L90E Rear Planetary. TCS has redesigned the O.E. rear planetary assembly with a 4140 HTSR billet steel drive plate to eliminate spline/housing failure. The new drive plate is milled and contoured to the planetary housing to eliminate any possible separation when under load.</p>,TK Performance,Transmission,"2009-15 CTS-V Transmission, 5th Gen Camaro Transmission, 6L90: Transmission, 6th Gen Camaro Transmission, Transmission",TRUE,Title,Default Title,,,,,,11340,,1,deny,manual,995,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L90_-4140_HTSR_Billet_Reinforced_Out_Carrier_Rear_Planetary_Assembly.png?v=1550718580,1,TK Performance,FALSE,6L90: Billet Reinforced Rear Planetary,6L90E Rear Planetary. TCS has redesigned the O.E. rear planetary assembly with a 4140 HTSR billet steel drive plate to eliminate spline/housing failure. The new drive plate is milled and contoured to the planetary housing to eliminate any possible separation when under load.,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"6L90: Billet Reinforced Rear Planetary, Transmission, TK Performance","6L90: Billet Reinforced Rear Planetary, Transmission, TK Performance",,FALSE,,,,,,,lb,,
6l80e-billet-reinforced-rear-planetary,6L80: Billet Reinforced Rear Planetary,<p>6L80E Rear Planetary. TCS has redesigned the O.E. rear planetary assembly with a 4140 HTSR billet steel drive plate to eliminate spline/housing failure. The new drive plate is milled and contoured to the planetary housing to eliminate any possible separation when under load.</p>,TK Performance,Transmission,"5th Gen Camaro Transmission, 6L80: Transmission, C6 Corvette Transmission, Chevy SS Transmission, Pontiac G8 Transmission, Transmission",TRUE,Title,Default Title,,,,,,11340,,1,deny,manual,995,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0170/4080/1856/products/6L80_-4140_HTSR_Billet_Reinforced_Out_Carrier_Rear_Planetary_Assembly.png?v=1550718579,1,TK Performance,FALSE,,6L80E 6L90E Rear Planetary. TCS has redesigned the O.E. rear planetary assembly with a 4140 HTSR billet steel drive plate to eliminate spline/housing failure. The new drive plate is milled and contoured to the planetary housing to eliminate any possible separation when under load.,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Transmission & Drivetrain Parts,Unisex,Adult,,"6L80: Billet Reinforced Rear Planetary, Transmission, TK Performance","6L80: Billet Reinforced Rear Planetary, Transmission, TK Performance",,FALSE,,,,,,,lb,,
custom-options-for-8l90-tkr-2,Custom options for 8L90 TKR,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,2600,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-8l90-tkr-1,Custom options for 8L90 TKR,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,2600,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-8l90-tkr,Custom options for 8L90 TKR,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,2600,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-dominator-5w-20-racing-oil-3,Custom options for DOMINATOR 5W-20 Racing Oil,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,155.75,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
custom-options-for-dominator-5w-20-racing-oil-2,Custom options for DOMINATOR 5W-20 Racing Oil,,TK Performance & Auto,mw_product_option,pfs:hidden,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,155.75,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,g,,
